aeropuerto,vuelo,aerolinea,origen,hora_04sep,hora_baseline,delta_min,clasificacion,confianza,en_franja_paro,hora_estimada_04sep,demora_est_min,codigos_compartidos,n_baselines,nota
AEP,AR 1385,AEROLINEAS ARGENTINAS,MVD,14:20,14:30,-10,CAMBIO_HORARIO,alta,NO,,,,4,
AEP,AR 1547,AEROLINEAS ARGENTINAS,COR,22:15,22:25,-10,CAMBIO_HORARIO,alta,NO,,,,4,
AEP,AR 1651,AEROLINEAS ARGENTINAS,NQN,22:45,22:55,-10,CAMBIO_HORARIO,alta,NO,,,,3,
AEP,AR 1241,AEROLINEAS ARGENTINAS,GRU,10:00,09:55,5,CAMBIO_HORARIO,alta,SI,,,,4,
AEP,AR 1403,AEROLINEAS ARGENTINAS,MDZ,10:20,10:25,-5,CAMBIO_HORARIO,alta,SI,,,,4,
AEP,AR 1485,AEROLINEAS ARGENTINAS,TUC,23:20,23:25,-5,CAMBIO_HORARIO,alta,NO,,,,3,
EZE,AR 1305,AEROLINEAS ARGENTINAS,MIA,19:15,04:30,-555,CAMBIO_HORARIO,media,SI,,,,3,
AEP,WJ 3105,JETSMART AIRLINES,COR,08:24,00:16,488,CAMBIO_HORARIO,media,NO,,,,3,
AEP,WJ 3162,JETSMART AIRLINES,NQN,17:11,13:31,220,CAMBIO_HORARIO,media,NO,,,,4,
AEP,AR 1603,AEROLINEAS ARGENTINAS,MDQ,12:10,10:15,115,CAMBIO_HORARIO,media,NO,,,,4,
EZE,AR 1887,AEROLINEAS ARGENTINAS,USH,19:25,21:10,-105,CAMBIO_HORARIO,media,SI,,,,5,
EZE,AR 1789,AEROLINEAS ARGENTINAS,IGR,20:20,21:25,-65,CAMBIO_HORARIO,media,SI,,,,4,
AEP,AR 1873,AEROLINEAS ARGENTINAS,USH,13:50,12:50,60,CAMBIO_HORARIO,media,NO,,,,4,
AEP,AR 1473,AEROLINEAS ARGENTINAS,TUC,13:00,13:50,-50,CAMBIO_HORARIO,media,NO,,,,4,
AEP,AR 1733,AEROLINEAS ARGENTINAS,PRA,15:40,16:30,-50,CAMBIO_HORARIO,media,NO,,,,3,
AEP,AR 1457,AEROLINEAS ARGENTINAS,CTC,21:20,22:05,-45,CAMBIO_HORARIO,media,NO,,,,2,
AEP,AR 1501,AEROLINEAS ARGENTINAS,SLA,22:50,23:25,-35,CAMBIO_HORARIO,media,NO,,,,2,
AEP,AR 1791,AEROLINEAS ARGENTINAS,IGR,21:45,22:15,-30,CAMBIO_HORARIO,media,NO,,,,3,
EZE,O4 401,ANDES LINEAS AEREAS,BRC,22:20,21:50,30,CAMBIO_HORARIO,media,NO,,,,6,
AEP,G3 7648,GOL LINHAS AÉREAS,GRU,01:40,02:00,-20,CAMBIO_HORARIO,media,NO,,,,2,
AEP,G3 7656,GOL LINHAS AÉREAS,GIG,02:00,01:40,20,CAMBIO_HORARIO,media,NO,,,,2,
AEP,AR 1725,AEROLINEAS ARGENTINAS,SFN,09:55,09:40,15,CAMBIO_HORARIO,media,SI,,,,4,
AEP,AR 1635,AEROLINEAS ARGENTINAS,RSA,13:35,13:50,-15,CAMBIO_HORARIO,media,NO,,,,3,
AEP,AR 1637,AEROLINEAS ARGENTINAS,NQN,10:55,10:45,10,CAMBIO_HORARIO,media,SI,,,,4,
AEP,LA 455,LATAM CHILE,SCL,14:40,14:50,-10,CAMBIO_HORARIO,media,NO,,,,4,
AEP,AR 1793,AEROLINEAS ARGENTINAS,IGR,23:15,23:25,-10,CAMBIO_HORARIO,media,NO,,,,3,
EZE,AR 1545,AEROLINEAS ARGENTINAS,COR,21:10,21:20,-10,CAMBIO_HORARIO,media,NO,,,,6,
AEP,AR 1523,AEROLINEAS ARGENTINAS,COR,11:35,11:40,-5,CAMBIO_HORARIO,media,SI,,,,4,
AEP,AR 1495,AEROLINEAS ARGENTINAS,SLA,13:05,13:00,5,CAMBIO_HORARIO,media,NO,,,,4,
AEP,AR 1749,AEROLINEAS ARGENTINAS,CNQ,15:55,15:50,5,CAMBIO_HORARIO,media,NO,,,,3,
AEP,AR 1765,AEROLINEAS ARGENTINAS,PSS,16:10,16:05,5,CAMBIO_HORARIO,media,NO,,,,4,
AEP,AR 1449,AEROLINEAS ARGENTINAS,UAQ,23:25,23:20,5,CAMBIO_HORARIO,media,NO,,,,3,
AEP,WJ 3149,JETSMART AIRLINES,IGR,00:34,12:54,700,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,WJ 3231,JETSMART AIRLINES,TUC,00:23,12:48,695,CAMBIO_HORARIO,baja,NO,,,,2,
EZE,WJ 3011,JETSMART AIRLINES,SLA,12:36,23:36,-660,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,WJ 3107,JETSMART AIRLINES,COR,21:31,08:21,-650,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1773,AEROLINEAS ARGENTINAS,IGR,11:35,21:25,-590,CAMBIO_HORARIO,baja,SI,,,,3,
AEP,WJ 3143,JETSMART AIRLINES,IGR,20:17,10:27,590,CAMBIO_HORARIO,baja,SI,,,,3,
AEP,WJ 3081,JETSMART AIRLINES,MDZ,01:07,15:44,563,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,AR 1665,AEROLINEAS ARGENTINAS,BRC,10:55,18:10,-435,CAMBIO_HORARIO,baja,SI,,,,1,
EZE,WJ 3013,JETSMART AIRLINES,SLA,18:40,11:46,414,CAMBIO_HORARIO,baja,SI,,,,1,
AEP,AR 1407,AEROLINEAS ARGENTINAS,MDZ,13:15,19:20,-365,CAMBIO_HORARIO,baja,NO,,,WJ 3073,1,
AEP,AR 1541,AEROLINEAS ARGENTINAS,COR,19:10,13:35,335,CAMBIO_HORARIO,baja,SI,,,,4,
AEP,AR 1419,AEROLINEAS ARGENTINAS,MDZ,21:25,15:55,330,CAMBIO_HORARIO,baja,NO,,,,1,
EZE,WJ 3168,JETSMART AIRLINES,NQN,18:30,13:15,315,CAMBIO_HORARIO,baja,SI,,,,1,
EZE,AR 1673,AEROLINEAS ARGENTINAS,BRC,20:25,01:20,-295,CAMBIO_HORARIO,baja,SI,,,,6,
AEP,AR 1743,AEROLINEAS ARGENTINAS,RES,21:50,17:10,280,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,WJ 3151,JETSMART AIRLINES,IGR,11:39,16:15,-276,CAMBIO_HORARIO,baja,SI,,,,1,
AEP,AR 1611,AEROLINEAS ARGENTINAS,MDQ,14:25,18:55,-270,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1681,AEROLINEAS ARGENTINAS,BRC,14:10,09:55,255,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1767,AEROLINEAS ARGENTINAS,PSS,23:25,19:15,250,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,AR 1497,AEROLINEAS ARGENTINAS,SLA,15:50,19:35,-225,CAMBIO_HORARIO,baja,NO,,,,4,
AEP,AR 1817,AEROLINEAS ARGENTINAS,EQS,15:15,18:45,-210,CAMBIO_HORARIO,baja,NO,,,,2,
EZE,WJ 3137,JETSMART AIRLINES,IGR,22:09,01:39,-210,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,AR 1675,AEROLINEAS ARGENTINAS,BRC,17:25,14:05,200,CAMBIO_HORARIO,baja,NO,,,,4,
AEP,WJ 3155,JETSMART AIRLINES,IGR,12:39,15:47,-188,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,WJ 3040,JETSMART AIRLINES,BRC,13:21,10:23,178,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1417,AEROLINEAS ARGENTINAS,MDZ,15:30,18:05,-155,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,AR 1677,AEROLINEAS ARGENTINAS,BRC,15:10,17:35,-145,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1715,AEROLINEAS ARGENTINAS,ROS,11:15,13:35,-140,CAMBIO_HORARIO,baja,SI,,,,3,
EZE,WJ 3058,JETSMART AIRLINES,BRC,23:55,01:55,-120,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,WJ 3239,JETSMART AIRLINES,TUC,22:31,00:26,-115,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,WJ 3103,JETSMART AIRLINES,COR,15:00,13:15,105,CAMBIO_HORARIO,baja,NO,,,,3,
EZE,WJ 3019,JETSMART AIRLINES,SLA,00:46,23:16,90,CAMBIO_HORARIO,baja,NO,,,,2,
EZE,WJ 3166,JETSMART AIRLINES,NQN,15:29,16:59,-90,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,WJ 3015,JETSMART AIRLINES,SLA,17:41,19:04,-83,CAMBIO_HORARIO,baja,NO,,,,2,
AEP,AR 1513,AEROLINEAS ARGENTINAS,JUJ,14:30,13:10,80,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,WJ 3172,JETSMART AIRLINES,NQN,23:31,22:15,76,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,AR 1461,AEROLINEAS ARGENTINAS,SDE,12:40,11:25,75,CAMBIO_HORARIO,baja,NO,,,,3,
AEP,AR 1899,AEROLINEAS ARGENTINAS,FTE,22:05,20:50,75,CAMBIO_HORARIO,baja,NO,,,,1,
AEP,WJ 3071,JETSMART AIRLINES,MDZ,10:23,09:11,72,CAMBIO_HORARIO,baja,SI,,,,1,
